Source,ID_Device_Cam,Date_First_use,Total_FalseAlerts_2015,Total_FalseAlerts_2016,Total_FalseAlerts_2017,Total_FalseAlerts_2018,Device_Changed
6Chambre216,6216,2015-03-01,4078,2534,385,0,1
6Chambre207,6207,2015-03-01,4154,2359,756,0,1
6Chambre205,6205,2015-03-01,2249,901,845,0,1
6Chambre204,6204,2015-03-01,4324,841,30,0,1
6Chambre012,6012,2015-03-01,0,361,2,0,1
8Chambre081,8081,2015-03-01,396,308,0,0,1
8Chambre044,8044,2015-03-01,507,460,0,0,1
8Chambre028,8028,2015-03-01,238,222,0,0,1
8Chambre015,8015,2015-03-01,271,256,0,0,1
9Chambre003,9003,2015-03-01,0,0,0,0,1
9Chambre105,9105,2015-03-01,366,3774,2036,0,1
9Chambre112,9112,2015-03-01,289,3027,730,0,1
9Chambre117,9117,2015-03-01,322,347,0,0,1
9Chambre119,9119,2015-03-01,256,533,0,0,1
9Chambre210,9210,2015-03-01,0,0,0,0,1
9Chambre314,9314,2015-03-01,273,547,0,0,1
9Chambre315,9315,2015-03-01,394,3849,997,0,1
9Chambre319,9319,2015-03-01,537,1017,0,0,1
9Chambre320,9320,2015-03-01,463,3659,667,0,1
9Chambre322,9322,2015-03-01,414,2722,0,0,1
10Chambre111,10111,2015-03-01,0,1198,625,57,1
10Chambre119,10119,2015-03-01,0,1220,354,49,1
10Chambre131,10131,2015-03-01,0,2321,616,75,1
10Chambre136,10136,2015-03-01,0,985,1590,210,0
10Chambre270,10270,2015-03-01,0,2139,559,67,1
10Chambre273,10273,2015-03-01,0,3199,1343,77,1
11Chambre113,11113,2015-03-01,0,142,576,0,1
11Chambre126,11126,2015-03-01,0,251,845,0,1
11Chambre201,11201,2015-03-01,0,70,349,0,1
11Chambre206,11206,2015-03-01,0,68,664,0,1
11Chambre209B,112099,2015-03-01,0,298,330,0,1
12Chambre220,12220,2015-03-01,0,173,634,0,1
12Chambre118,12118,2015-03-01,0,35,148,0,1
12Chambre113,12113,2015-03-01,0,69,516,0,1
12Chambre112,12112,2015-03-01,0,180,447,0,1
12Chambre013,12013,2015-03-01,0,71,726,0,1
13Chambre110,13110,2015-03-01,0,76,255,0,1
13Chambre109,13109,2015-03-01,0,64,182,0,1
13Chambre108,13108,2015-03-01,0,85,214,0,1
13Chambre011,13011,2015-03-01,0,111,287,0,1
13Chambre009,13009,2015-03-01,0,141,321,0,1
14Chambre110,14110,2015-03-01,0,0,917,0,1
14Chambre108,14108,2015-03-01,0,0,732,0,1
14Chambre009,14009,2015-03-01,0,0,949,0,1
14Chambre008,14008,2015-03-01,0,0,617,0,1
14Chambre007,14007,2015-03-01,0,0,1009,0,1
15Chambre204,15204,2015-03-01,0,0,116,0,1
15Chambre113,15113,2015-03-01,0,0,507,0,1
15Chambre111,15111,2015-03-01,0,0,313,0,1
15Chambre011,15011,2015-03-01,0,0,258,0,1
15Chambre005,15005,2015-03-01,0,0,245,0,1
16Chambre227,16227,2015-03-01,0,0,302,0,1
16Chambre218,16218,2015-03-01,0,0,645,0,1
16Chambre115,16115,2015-03-01,0,0,279,0,1
16Chambre109,16109,2015-03-01,0,0,355,0,1
16Chambre002,16002,2015-03-01,0,0,454,0,1
17Chambre210,17210,2015-03-01,0,0,306,106,0
17Chambre206,17206,2015-03-01,0,0,353,262,0
17Chambre105,17105,2015-03-01,0,0,364,110,0
17Chambre003,17003,2015-03-01,0,0,255,139,0
18Chambre111,18111,2015-03-01,0,0,323,160,0
18Chambre108,18108,2015-03-01,0,0,769,326,0
18Chambre106,18106,2015-03-01,0,0,285,343,0
18Chambre104,18104,2015-03-01,0,0,503,300,0
18Chambre101,18101,2015-03-01,0,0,583,442,0
19Chambre221,19221,2015-03-01,0,0,225,0,1
19Chambre217,19217,2015-03-01,0,0,37,0,1
19Chambre122,19122,2015-03-01,0,0,315,0,1
19Chambre120,19120,2015-03-01,0,0,666,0,1
19Chambre012,19012,2015-03-01,0,0,244,0,1
21Chambre221,21221,2015-03-01,0,0,34,0,1
21Chambre122,21122,2015-03-01,0,0,90,0,1
21Chambre120,21120,2015-03-01,0,0,169,0,1
21Chambre012,21012,2015-03-01,0,0,50,0,1
